epoch,loss_epoch,loss_step,step
0,,4.726346969604492,49
0,5.5778632164001465,,78
1,,6.463981628417969,99
1,,4.910534381866455,149
1,5.3221821784973145,,157
2,,7.413211822509766,199
2,5.264189720153809,,236
3,,6.109135627746582,249
3,,3.780066728591919,299
3,5.207850456237793,,315
4,,7.058323860168457,349
4,5.1327009201049805,,394
5,,5.548619270324707,399
5,,3.3476357460021973,449
5,5.04724645614624,,473
6,,4.628965854644775,499
6,,6.049862861633301,549
6,4.948780059814453,,552
7,,3.3523011207580566,599
7,4.832952499389648,,631
8,,3.3880465030670166,649
8,,1.565284252166748,699
8,4.705918788909912,,710
9,,2.070521593093872,749
9,4.565413475036621,,789
10,,4.636865139007568,799
10,,5.630385398864746,849
10,4.406078338623047,,868
11,,4.150746822357178,899
11,4.239766597747803,,947
12,,2.49407958984375,949
12,,1.1300816535949707,999
12,4.063831329345703,,1026
13,,3.407397985458374,1049
13,,2.734048843383789,1099
13,3.8862602710723877,,1105
14,,3.358311176300049,1149
14,3.705977439880371,,1184
15,,2.3930819034576416,1199
15,,5.644287109375,1249
15,3.5309898853302,,1263
16,,4.6243791580200195,1299
16,3.3506507873535156,,1342
17,,2.95908522605896,1349
17,,2.747364044189453,1399
17,3.1713643074035645,,1421
18,,3.4370317459106445,1449
18,,2.13582706451416,1499
18,2.9986963272094727,,1500
19,,4.27630615234375,1549
19,2.8285069465637207,,1579
20,,3.0151376724243164,1599
20,,3.1022398471832275,1649
20,3.1578779220581055,,1658
21,,1.902754783630371,1699
21,2.880586624145508,,1737
22,,4.0758056640625,1749
22,,2.100691795349121,1799
22,2.656242609024048,,1816
23,,2.2675259113311768,1849
23,2.4675796031951904,,1895
24,,3.2435314655303955,1899
24,,1.6712119579315186,1949
24,2.3074557781219482,,1974
25,,1.9509401321411133,1999
25,,1.6423041820526123,2049
25,2.1521565914154053,,2053
26,,2.7619869709014893,2099
26,2.0076746940612793,,2132
27,,1.756181240081787,2149
27,,2.1375961303710938,2199
27,1.8945786952972412,,2211
28,,1.613019347190857,2249
28,1.7778171300888062,,2290
29,,2.0708465576171875,2299
29,,1.45383620262146,2349
29,1.6749380826950073,,2369
30,,1.3362442255020142,2399
30,1.5807158946990967,,2448
31,,1.7930511236190796,2449
31,,1.8535112142562866,2499
31,1.491005301475525,,2527
32,,1.6712234020233154,2549
32,,1.5634698867797852,2599
32,1.4087576866149902,,2606
33,,1.4339845180511475,2649
33,1.3312153816223145,,2685
34,,0.8014062643051147,2699
34,,1.4262456893920898,2749
34,1.263010025024414,,2764
35,,1.1513915061950684,2799
35,1.2002516984939575,,2843
36,,0.9766371250152588,2849
36,,1.019179105758667,2899
36,1.1445585489273071,,2922
37,,1.2292110919952393,2949
37,,1.0904098749160767,2999
37,1.0777899026870728,,3001
38,,0.7940035462379456,3049
38,1.0227224826812744,,3080
39,,1.188920259475708,3099
39,,0.5988463759422302,3149
39,0.9777906537055969,,3159
40,,3.4728846549987793,3199
40,2.470059871673584,,3238
41,,1.828776478767395,3249
41,,1.704200267791748,3299
41,1.9856648445129395,,3317
42,,1.8179644346237183,3349
42,1.7400957345962524,,3396
43,,1.5307083129882812,3399
43,,1.6428875923156738,3449
43,1.5748000144958496,,3475
44,,1.7548795938491821,3499
44,,1.1155927181243896,3549
44,1.4493579864501953,,3554
45,,1.0398023128509521,3599
45,1.3591008186340332,,3633
46,,0.9587192535400391,3649
46,,1.0125826597213745,3699
46,1.276979923248291,,3712
47,,0.9871048331260681,3749
47,1.1985282897949219,,3791
48,,1.539524793624878,3799
48,,0.8992157578468323,3849
48,1.1427029371261597,,3870
49,,1.389954686164856,3899
49,,0.6472247838973999,3949
49,1.0831685066223145,,3949
50,,0.9541867971420288,3999
50,1.0354406833648682,,4028
51,,0.9450200796127319,4049
51,,0.7941790819168091,4099
51,0.9862955212593079,,4107
52,,0.8239561319351196,4149
52,0.9412134885787964,,4186
53,,1.0163047313690186,4199
53,,1.2968873977661133,4249
53,0.9044110178947449,,4265
54,,0.7089236974716187,4299
54,0.87117999792099,,4344
55,,1.1658061742782593,4349
55,,0.9890531301498413,4399
55,0.8406075239181519,,4423
56,,0.828101396560669,4449
56,,0.9632700681686401,4499
56,0.8217471837997437,,4502
57,,0.8706815242767334,4549
57,0.777062177658081,,4581
58,,1.0095555782318115,4599
58,,0.9320982098579407,4649
58,0.7674323320388794,,4660
59,,0.6027847528457642,4699
59,0.7405639886856079,,4739
60,,1.9014471769332886,4749
60,,1.6147105693817139,4799
60,1.9130269289016724,,4818
61,,1.5397861003875732,4849
61,1.3832151889801025,,4897
62,,0.9423580765724182,4899
62,,0.9768598675727844,4949
62,1.209139108657837,,4976
63,,0.8200141191482544,4999
63,,0.8178195953369141,5049
63,1.0994980335235596,,5055
64,,0.7019214630126953,5099
64,1.017484188079834,,5134
65,,0.961910605430603,5149
65,,0.8675680160522461,5199
65,0.9628768563270569,,5213
66,,0.8860248327255249,5249
66,0.9072415828704834,,5292
67,,0.9322691559791565,5299
67,,1.0824451446533203,5349
67,0.8684378862380981,,5371
68,,0.6068572402000427,5399
68,,1.028340458869934,5449
68,0.8312908411026001,,5450
69,,0.6168699264526367,5499
69,0.7931547164916992,,5529
70,,0.7622159719467163,5549
70,,0.6579573154449463,5599
70,0.7677505612373352,,5608
71,,0.7717843055725098,5649
71,0.7363120317459106,,5687
72,,0.6696621179580688,5699
72,,0.7293046712875366,5749
72,0.7051030993461609,,5766
73,,0.6601778864860535,5799
73,0.6827389001846313,,5845
74,,0.5024584531784058,5849
74,,0.5762101411819458,5899
74,0.6567403674125671,,5924
75,,0.7127631902694702,5949
75,,0.6947921514511108,5999
75,0.641883373260498,,6003
76,,0.9773551225662231,6049
76,0.617576539516449,,6082
77,,0.3086022138595581,6099
77,,0.6169826984405518,6149
77,0.6015996932983398,,6161
78,,0.46747344732284546,6199
78,0.5899033546447754,,6240
79,,0.5895305275917053,6249
79,,0.6156505346298218,6299
79,0.5766913890838623,,6319
80,,1.4272254705429077,6349
80,1.4998574256896973,,6398
81,,0.8704514503479004,6399
81,,0.7911251783370972,6449
81,1.052642583847046,,6477
82,,0.76637864112854,6499
82,,0.9453696012496948,6549
82,0.9256756901741028,,6556
83,,1.224247694015503,6599
83,0.8507797718048096,,6635
84,,0.70722496509552,6649
84,,1.0388262271881104,6699
84,0.7878049612045288,,6714
85,,1.0162607431411743,6749
85,0.7429999709129333,,6793
86,,0.7074311375617981,6799
86,,0.8968421816825867,6849
86,0.7113524675369263,,6872
87,,0.6078767776489258,6899
87,,0.5478368401527405,6949
87,0.677079439163208,,6951
88,,0.49597254395484924,6999
88,0.6457620859146118,,7030
89,,0.7850669622421265,7049
89,,0.60335373878479,7099
89,0.6279187798500061,,7109
90,,0.6173182129859924,7149
90,0.6084833741188049,,7188
91,,0.523334801197052,7199
91,,0.5010145902633667,7249
91,0.5806996822357178,,7267
92,,0.5824294090270996,7299
92,0.5651106834411621,,7346
93,,0.597733199596405,7349
93,,0.6695069074630737,7399
93,0.5475751161575317,,7425
94,,0.4259653091430664,7449
94,,0.6491419672966003,7499
94,0.5330498814582825,,7504
95,,0.5810116529464722,7549
95,0.5133478045463562,,7583
96,,0.40238529443740845,7599
96,,0.47795990109443665,7649
96,0.500824511051178,,7662
97,,0.4336617887020111,7699
97,0.4864989221096039,,7741
98,,0.4663640260696411,7749
98,,0.3832070231437683,7799
98,0.4804329574108124,,7820
99,,0.39325016736984253,7849
99,,0.598202645778656,7899
99,0.4646822214126587,,7899
100,,0.8403754234313965,7949
100,1.0461621284484863,,7978
101,,0.8102648258209229,7999
101,,0.8910381197929382,8049
101,0.7567015886306763,,8057
102,,0.644546627998352,8099
102,0.6710020303726196,,8136
103,,0.7004826068878174,8149
103,,0.6412191987037659,8199
103,0.6154515147209167,,8215
104,,0.5516833066940308,8249
104,0.5817278027534485,,8294
105,,0.7102183103561401,8299
105,,0.5603351593017578,8349
105,0.5465212464332581,,8373
106,,0.7366997003555298,8399
106,,0.5486538410186768,8449
106,0.5268533229827881,,8452
107,,0.3933318853378296,8499
107,0.5074089169502258,,8531
108,,0.41840213537216187,8549
108,,0.5044044256210327,8599
108,0.4844888150691986,,8610
109,,0.43597739934921265,8649
109,0.4646533727645874,,8689
110,,0.5397623777389526,8699
110,,0.35009169578552246,8749
110,0.4573974013328552,,8768
111,,0.34471213817596436,8799
111,0.438503623008728,,8847
112,,0.5271188616752625,8849
112,,0.5513358116149902,8899
112,0.42652538418769836,,8926
113,,0.3824702799320221,8949
113,,0.5223162770271301,8999
113,0.4157477915287018,,9005
114,,0.35776153206825256,9049
114,0.40618619322776794,,9084
115,,0.38624387979507446,9099
115,,0.5207116603851318,9149
115,0.38912373781204224,,9163
116,,0.30516210198402405,9199
116,0.37892940640449524,,9242
117,,0.27675217390060425,9249
117,,0.3187375068664551,9299
117,0.37301233410835266,,9321
118,,0.2804121971130371,9349
118,,0.47450605034828186,9399
118,0.36291956901550293,,9400
119,,0.2862940728664398,9449
119,0.3592468500137329,,9479
120,,0.809608519077301,9499
120,,0.7008161544799805,9549
120,0.7148680090904236,,9558
121,,0.5163631439208984,9599
121,0.5229876041412354,,9637
122,,0.34362131357192993,9649
122,,0.43327170610427856,9699
122,0.4709779918193817,,9716
123,,0.43251508474349976,9749
123,0.43128472566604614,,9795
124,,0.4318239092826843,9799
124,,0.47945353388786316,9849
124,0.40698450803756714,,9874
125,,0.3510822653770447,9899
125,,0.5307146310806274,9949
125,0.3921518921852112,,9953
126,,0.3164941072463989,9999
126,0.37298473715782166,,10032
127,,0.31986531615257263,10049
127,,0.31770259141921997,10099
127,0.3602399528026581,,10111
128,,0.2881227731704712,10149
128,0.35060572624206543,,10190
129,,0.27143892645835876,10199
129,,0.41137707233428955,10249
129,0.3362312614917755,,10269
130,,0.3216649293899536,10299
130,0.32165977358818054,,10348
131,,0.19686776399612427,10349
131,,0.31336742639541626,10399
131,0.3134777843952179,,10427
132,,0.2319430112838745,10449
132,,0.23703435063362122,10499
132,0.30664902925491333,,10506
133,,0.2928462624549866,10549
133,0.3076782822608948,,10585
134,,0.30771711468696594,10599
134,,0.32555514574050903,10649
134,0.29174524545669556,,10664
135,,0.2131233513355255,10699
135,0.2857690155506134,,10743
136,,0.22794511914253235,10749
136,,0.31281423568725586,10799
136,0.2742742598056793,,10822
137,,0.2698138654232025,10849
137,,0.2980056405067444,10899
137,0.26654747128486633,,10901
138,,0.2713942229747772,10949
138,0.26654618978500366,,10980
139,,0.23648589849472046,10999
139,,0.23384883999824524,11049
139,0.2620426416397095,,11059
140,,0.5201002359390259,11099
140,0.47404980659484863,,11138
141,,0.3272510766983032,11149
141,,0.3039712905883789,11199
141,0.3609418570995331,,11217
142,,0.26810574531555176,11249
142,0.32876133918762207,,11296
143,,0.29576998949050903,11299
143,,0.2601891756057739,11349
143,0.30819979310035706,,11375
144,,0.2626374661922455,11399
144,,0.2265893816947937,11449
144,0.2892441153526306,,11454
145,,0.27255916595458984,11499
145,0.27990809082984924,,11533
146,,0.21528461575508118,11549
146,,0.25700339674949646,11599
146,0.2662029266357422,,11612
147,,0.29621630907058716,11649
147,0.25991204380989075,,11691
148,,0.24411916732788086,11699
148,,0.21886932849884033,11749
148,0.2512788474559784,,11770
149,,0.24194364249706268,11799
149,,0.07534106075763702,11849
149,0.24368244409561157,,11849
150,,0.2437630593776703,11899
150,0.23511770367622375,,11928
151,,0.2118670642375946,11949
151,,0.1908191740512848,11999
151,0.22990866005420685,,12007
152,,0.1852138638496399,12049
152,0.22431261837482452,,12086
153,,0.16133736073970795,12099
153,,0.21045735478401184,12149
153,0.21580559015274048,,12165
154,,0.19390451908111572,12199
154,0.21339771151542664,,12244
155,,0.16609299182891846,12249
155,,0.23103806376457214,12299
155,0.20839062333106995,,12323
156,,0.1939486563205719,12349
156,,0.16812655329704285,12399
156,0.20478202402591705,,12402
157,,0.20420154929161072,12449
157,0.19960947334766388,,12481
158,,0.20313416421413422,12499
158,,0.23459239304065704,12549
158,0.1965339481830597,,12560
159,,0.197397381067276,12599
159,0.19020318984985352,,12639
160,,0.368757963180542,12649
160,,0.40613049268722534,12699
160,0.32581669092178345,,12718
161,,0.3010448217391968,12749
161,0.24826335906982422,,12797
162,,0.1514664888381958,12799
162,,0.23038329184055328,12849
162,0.22833329439163208,,12876
163,,0.2003370225429535,12899
163,,0.2693657875061035,12949
163,0.22031186521053314,,12955
164,,0.19658643007278442,12999
164,0.2088359147310257,,13034
165,,0.2289188951253891,13049
165,,0.2047116756439209,13099
165,0.20086053013801575,,13113
166,,0.20891106128692627,13149
166,0.19314000010490417,,13192
167,,0.17587774991989136,13199
167,,0.20500291883945465,13249
167,0.18927988409996033,,13271
168,,0.18000249564647675,13299
168,,0.17906731367111206,13349
168,0.1841728240251541,,13350
169,,0.21485364437103271,13399
169,0.18111275136470795,,13429
170,,0.1434141993522644,13449
170,,0.19994112849235535,13499
170,0.17347171902656555,,13508
171,,0.15059968829154968,13549
171,0.17165878415107727,,13587
172,,0.1727772057056427,13599
172,,0.17815805971622467,13649
172,0.16693949699401855,,13666
173,,0.17138759791851044,13699
173,0.16535604000091553,,13745
174,,0.15511468052864075,13749
174,,0.12057044357061386,13799
174,0.16167700290679932,,13824
175,,0.14579959213733673,13849
175,,0.1342202126979828,13899
175,0.15981514751911163,,13903
176,,0.20387548208236694,13949
176,0.15472161769866943,,13982
177,,0.1303536295890808,13999
177,,0.2302747666835785,14049
177,0.1534980982542038,,14061
178,,0.15504847466945648,14099
178,0.15036335587501526,,14140
179,,0.12056632339954376,14149
179,,0.1783469021320343,14199
179,0.1474943906068802,,14219
180,,0.2769979238510132,14249
180,0.24367216229438782,,14298
181,,0.15493758022785187,14299
181,,0.13202059268951416,14349
181,0.1949259489774704,,14377
182,,0.1767875850200653,14399
182,,0.2877822518348694,14449
182,0.18604165315628052,,14456
183,,0.12821809947490692,14499
183,0.17252850532531738,,14535
184,,0.1533258557319641,14549
184,,0.14286181330680847,14599
184,0.16487868130207062,,14614
